,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,1,0.0,95,21763.144359238617,0.0,0.0,0.0,0.0,0.0,46.1528421052631,10.788098493152177
1,1,1,0.0,60,5921.160884925958,0.0,0.0,0.0,0.0,0.0,29.502666666666716,2.979652762679544
2,2,1,0.0,60,2660.6187027576493,0.0,0.0,0.0,0.0,0.0,68.2976666666667,8.216655414320575
3,3,1,0.0,60,15225.97708664718,0.0,0.0,0.0,0.0,0.0,44.021999999999984,22.270005140058256
4,4,1,0.0,93,144576.94072325033,0.0,0.0,0.0,0.0,0.0,64.57075268817204,48.313478425328974
5,5,1,0.0,125,186934.01057876585,0.0,0.0,0.0,0.0,0.0,76.78768000000012,74.30119247170701
6,6,1,0.0,60,22437.703611683617,0.0,0.0,0.0,0.0,0.0,66.2623333333334,35.52086792687489
7,7,1,0.0,60,17262.021926387133,0.0,0.0,0.0,0.0,0.0,64.49483333333332,14.22476301374071
8,8,1,0.0,114,86649.14031472962,0.0,0.0,0.0,0.0,0.0,74.54166666666659,16.1441880175178
9,9,1,0.0,64,32798.72845693659,0.0,0.0,0.0,0.0,0.0,66.55000000000008,25.347192483176112
10,10,1,0.0,95,178385.55842844286,0.0,0.0,0.0,0.0,0.0,53.11378947368427,86.0141853237302
11,11,1,0.0,76,41832.558921083706,0.0,0.0,0.0,0.0,0.0,72.17592105263157,24.82989179814909
12,12,1,0.0,61,962758.67809658,0.0,0.0,0.0,0.0,0.0,67.51918032786885,172.32227603937616
13,13,1,0.0,62,95129.5304642722,0.0,0.0,0.0,0.0,0.0,58.400322580645145,69.08573140943498
14,14,1,0.0,61,45203.83493518879,0.0,0.0,0.0,0.0,0.0,65.35852459016394,12.48278090463119
15,15,1,0.0,61,94343.94955844336,0.0,0.0,0.0,0.0,0.0,58.77655737704915,15.436338169734782
16,16,1,0.0,60,243460.7163099907,0.0,0.0,0.0,0.0,0.0,58.61116666666664,65.92613153757819
17,17,1,0.0,60,158630.1148090146,0.0,0.0,0.0,0.0,0.0,54.57066666666669,67.61471147870073
18,18,1,0.0,60,100712.27134448675,0.0,0.0,0.0,0.0,0.0,35.308000000000064,12.52847268947144
19,19,1,0.0,452,315289.01783230004,0.0,0.0,0.0,0.0,0.0,38.981703539823,18.97688390759321
20,20,1,0.0,60,20547.71015207799,0.0,0.0,0.0,0.0,0.0,56.986666666666665,12.429922037119429
21,21,1,0.0,60,38820.49836635705,0.0,0.0,0.0,0.0,0.0,28.56999999999999,11.379644224152932
22,22,1,0.0,79,34858.74511882352,0.0,0.0,0.0,0.0,0.0,62.280759493670914,76.91558117465078
23,23,2,0.0034866168222191,230,69808.84191052962,0.454129966751462,0.2044861824577989,-0.2718013558752977,707.5560653414751,0.0550315859351248,35.27448142238437,4.840823750637767
24,24,2,0.0038201452332224,156,376971.687608044,0.7685772217341371,-0.288885454461635,-0.2104406354410136,886.5766528316299,0.0130042722938459,62.220256410256354,38.014728151878856
25,25,2,0.004416465033156,175,1174677.4650766056,0.7954045774853788,0.5115815747512265,-0.1300300982417681,269.2642536152486,0.0114443238813917,42.74879999999996,121.49772588968747
26,26,2,0.0045997512802512,157,105153.17216352356,0.7915844553044719,-0.4179665832619356,-0.5859944989468805,1282.258136473105,0.0567689328184598,21.63575,27.12235939395255
27,27,3,0.0071536306539628,217,161128.43303041512,0.6803449857748669,-0.3940712463565521,-0.7032696241212228,874.0497913050241,0.0487661409565602,68.5172764572722,22.822714525895964
28,28,5,0.0083316051227086,473,417010.33745472366,0.8425211750582191,-0.1413993949822307,-0.27390849630238,1661.9282386063717,0.0185376969455175,57.05850317990473,18.128846644187668
29,29,3,0.0096596917255096,193,127674.96876626444,0.7811728404140929,0.1874473787939519,-0.6375793439451649,392.1014650437096,0.0328278921558422,27.837703703703728,20.48174022713143
30,30,3,0.0097566217445796,183,79421.20110083093,0.8293277076936084,-0.3927504844293603,-0.243076094757778,2462.436216581234,0.0070038717782633,58.3185291005291,19.32208881348681
31,31,2,0.0109161373732141,237,1747693.293663421,0.6675871046227208,-0.0118369162651144,-0.1575741954412706,283.4764066486708,0.012758760541709,44.62721794871796,88.37564531592571
32,32,2,0.0123067199394288,282,128187.07816581122,0.396331395151161,-0.7255968716494394,-0.5723918292349598,1637.0802960522583,0.0259833993639456,49.2942799111874,28.732981621973718
33,33,4,0.0128807538010799,2377,2728526.83294362,0.4152157498690424,0.0533197703208396,0.0034157753850998,1686.7958902882092,0.0165942256987895,51.74697973840997,6.31952740303373
34,34,2,0.0134198715905748,247,29630.875927583314,0.1320066632887968,-0.4265154391292223,-0.3717852069322664,1534.1617142992875,0.0550291626628528,57.08184656084652,7.581845164630463
35,35,2,0.0136491960051823,127,395555.46359968185,0.3982686611711883,-0.4163296754152847,-0.5396576507428508,2918.326785472711,0.0347806592924029,49.62055597014927,60.45857799701474
36,36,3,0.0136812174500651,208,3043402.255590497,0.5969342039069462,-0.3868480733390938,-0.7308981665108307,1350.1777443084818,0.0513908153461918,61.31224747474749,136.3165579974663
37,37,2,0.0139900920035665,176,24497.413243242387,0.3165550545605327,-0.2902322651653594,0.6137580473490805,603.3845997932248,0.0039352547666193,47.93077083333328,24.27414045839842
38,38,4,0.0140251095500525,358,1176200.276244267,0.4402990084157361,-0.510336701210424,-0.675592259202488,1071.4412079056583,0.0445166969471274,42.356730805197216,81.88278680602815
39,39,7,0.0142488794333253,2087,3012420.446146018,0.4489729550531036,0.0615677390977134,0.0959005440805322,710.9069929773361,0.0176614319455201,49.103783803689815,19.65850654568398
