,AD,AL,AT,AZ,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IS,IT,KZ,LI,LT,LU,LV,MC,MD,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,TR,UA
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,60.0,545.0,573.0,292.0,247.0,246.0,267.0,107.0,592.0,499.0,260.0,471.0,572.0,395.0,278.0,638.0,268.0,326.0,404.0,508.0,309.0,297.0,321.0,665.0,261.0,466.0,236.0,500.0,312.0,544.0,511.0,567.0,599.0,231.0,608.0,261.0,502.0,576.0,310.0,663.0,123.0,504.0,556.0,76.0,412.0,487.0
2,241.0,641.0,665.0,352.0,340.0,310.0,348.0,500.0,667.0,592.0,385.0,670.0,685.0,465.0,338.0,726.0,522.0,440.0,468.0,584.0,450.0,441.0,416.0,737.0,322.0,529.0,311.0,670.0,535.0,664.0,601.0,647.0,677.0,569.0,668.0,343.0,612.0,636.0,453.0,723.0,362.0,672.0,680.0,338.0,509.0,603.0
3,302.0,701.0,733.0,412.0,400.0,588.0,425.0,665.0,727.0,680.0,508.0,730.0,917.0,664.0,398.0,834.0,604.0,500.0,579.0,646.0,667.0,667.0,594.0,797.0,594.0,641.0,373.0,737.0,668.0,852.0,669.0,707.0,737.0,671.0,917.0,403.0,730.0,714.0,662.0,843.0,443.0,736.0,741.0,417.0,658.0,663.0
4,600.0,796.0,815.0,524.0,535.0,669.0,680.0,725.0,840.0,740.0,673.0,825.0,,917.0,458.0,917.0,665.0,644.0,674.0,706.0,784.0,848.0,656.0,857.0,655.0,701.0,434.0,820.0,729.0,917.0,732.0,857.0,797.0,733.0,,465.0,790.0,856.0,782.0,917.0,503.0,819.0,857.0,678.0,725.0,723.0
5,665.0,856.0,917.0,659.0,682.0,735.0,917.0,917.0,917.0,819.0,743.0,917.0,,,518.0,,736.0,720.0,857.0,767.0,917.0,917.0,718.0,917.0,733.0,857.0,671.0,917.0,829.0,,797.0,917.0,857.0,797.0,,917.0,917.0,917.0,917.0,,633.0,917.0,917.0,738.0,857.0,917.0
6,727.0,917.0,,719.0,917.0,846.0,,,,917.0,917.0,,,,597.0,,811.0,854.0,917.0,829.0,,,847.0,,838.0,917.0,731.0,,917.0,,857.0,,917.0,857.0,,,,,,,917.0,,,821.0,917.0,
7,857.0,,,917.0,,917.0,,,,,,,,,739.0,,917.0,917.0,,917.0,,,917.0,,917.0,,801.0,,,,917.0,,,917.0,,,,,,,,,,917.0,,
8,917.0,,,,,,,,,,,,,,917.0,,,,,,,,,,,,917.0,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
