,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,1,0.0,72,18185.44022299765,0.0,0.0,0.0,0.0,0.0,59.42861111111113,60.70761227659924
1,1,1,0.0,109,128319.8946843962,0.0,0.0,0.0,0.0,0.0,61.86376146789007,35.4488107362434
2,2,1,0.0,60,7669.889104113276,0.0,0.0,0.0,0.0,0.0,30.99466666666665,60.995780914329615
3,3,1,0.0,139,25420.082331160924,0.0,0.0,0.0,0.0,0.0,68.35453237410077,13.61649074216099
4,4,1,0.0,91,5101.919455084462,0.0,0.0,0.0,0.0,0.0,65.50395604395601,14.349095583101306
5,5,1,0.0,100,5086.198239309743,0.0,0.0,0.0,0.0,0.0,51.33100000000002,1.8427424906456975
6,6,1,0.0,88,9382.275166335256,0.0,0.0,0.0,0.0,0.0,19.90147727272728,1.3432903610938622
7,7,1,0.0,65,72176.56258723786,0.0,0.0,0.0,0.0,0.0,75.25076923076921,70.0081393875005
8,8,1,0.0,81,92158.96813582434,0.0,0.0,0.0,0.0,0.0,26.103950617283918,15.783973537981032
9,9,1,0.0,95,33810.0486227218,0.0,0.0,0.0,0.0,0.0,66.28126315789487,33.17083298216216
10,10,1,0.0,62,1862.6335190098932,0.0,0.0,0.0,0.0,0.0,40.60000000000004,28.60789008270956
11,11,1,0.0,100,53812.7229683199,0.0,0.0,0.0,0.0,0.0,58.53869999999996,26.700305987085457
12,12,1,0.0,102,80824.94731290606,0.0,0.0,0.0,0.0,0.0,65.85872549019619,20.42748784395228
13,13,1,0.0,100,116294.94662137987,0.0,0.0,0.0,0.0,0.0,48.38049999999999,61.62351032853029
14,14,1,0.0,92,177648.8522737875,0.0,0.0,0.0,0.0,0.0,52.90489130434789,86.66312386640307
15,15,1,0.0,74,20483.69942444393,0.0,0.0,0.0,0.0,0.0,75.76202702702705,42.4041435055087
16,16,1,0.0,158,153976.5669100889,0.0,0.0,0.0,0.0,0.0,60.24721518987345,6.181495818511538
17,17,1,0.0,273,929799.0937846171,0.0,0.0,0.0,0.0,0.0,49.10974358974367,4.363401529156409
18,18,1,0.0,207,648231.8785862224,0.0,0.0,0.0,0.0,0.0,49.7170531400965,7.303019160368927
19,19,1,0.0,147,2991.66685076436,0.0,0.0,0.0,0.0,0.0,59.79789115646268,4.3337170489039085
20,20,1,0.0,94,3244.0636985096994,0.0,0.0,0.0,0.0,0.0,27.25489361702131,4.617006507487997
21,21,1,0.0,83,70078.26269039206,0.0,0.0,0.0,0.0,0.0,56.687228915662686,43.2681513833052
22,22,1,0.0,125,33785.19882188377,0.0,0.0,0.0,0.0,0.0,58.749600000000136,11.135085189635095
23,23,1,0.0,88,159525.42912394134,0.0,0.0,0.0,0.0,0.0,49.3425,53.29647904780768
24,24,1,0.0,79,25890.16461709769,0.0,0.0,0.0,0.0,0.0,65.76683544303799,38.699663211714224
25,25,1,0.0,139,1116296.06061693,0.0,0.0,0.0,0.0,0.0,29.53165467625904,110.42511675074694
26,26,1,0.0,73,6250111.6854018,0.0,0.0,0.0,0.0,0.0,55.52712328767125,292.5387733478174
27,27,1,0.0,166,14218.353583334874,0.0,0.0,0.0,0.0,0.0,42.74759036144579,26.47764791665488
28,28,1,0.0,64,8276.777805502752,0.0,0.0,0.0,0.0,0.0,20.829999999999995,1.2254802702026206
29,29,2,0.0013323529185257,474,34859676.91231726,0.9147481910790076,-0.3553242659444797,0.4786829161397709,1150.6249150026376,0.0072716382179696,37.36610940622329,204.34637168601805
30,30,2,0.0022733693542716,375,773385.2813275033,0.8189024667190761,0.476036166709113,-0.2231327137683417,262.8498288403499,0.0154866275988039,44.797638888888926,25.336164082739565
31,31,2,0.0028390266103439,279,6802642.104938619,0.8355236493989832,-0.6712386779251899,0.7290684003497312,1518.9616227572706,0.0021063526953173,60.73441071796986,152.41788097163464
32,32,2,0.0029785702958886,557,6126979.445198696,0.7929707927505816,0.5909964364376441,-0.1977947979534114,303.3839441037968,0.0175738569569208,30.3775179937021,65.05273817399345
33,33,2,0.0037302090467588,313,85567.13289195632,0.814583715982615,-0.7078759071182014,-0.5377631414574118,3459.617961297789,0.0192267359095558,57.3853707836237,19.36391830169667
34,34,2,0.0041458086929904,328,350871.05552682525,0.678166444259938,-0.5865948669687925,-0.0008318473442269,2297.24392479183,0.0227076255656398,65.06696671585505,1.9346446961740364
35,35,2,0.0044952855296887,299,44301.86733787053,0.5818118702411447,-0.6363135031219673,-0.6881437235957286,1066.8795798704484,0.0349926065879616,59.09786538461533,14.53136676821356
36,36,4,0.0055838559802677,804,6969889.100038217,0.6331169323813204,-0.338647499271156,-0.6166742244254212,979.9376515964932,0.0307171655273029,55.12909755196228,78.73344115667524
37,37,3,0.0057164818793243,581,121692.44435649471,0.7446904376735691,0.0511690220775581,-0.445340842444191,1567.4782935570402,0.0582834042093526,48.37637268807291,4.01102996644855
38,38,2,0.005733963022331,457,756916.5320376193,0.5251683918489226,-0.3416122649385731,-0.791289683471118,840.4763848928358,0.0398268468076426,52.22099977758012,32.9631994355643
39,39,3,0.0057681448136722,270,547534.0053362198,0.783393700274245,0.5484045979430353,-0.4932277227918591,206.95094331426785,0.0288968390912376,43.24969242230443,84.42173358704672
40,40,2,0.0065812651845905,765,676082.4265908295,0.4954634674279052,-0.5045696509377003,-0.3024625056208704,3305.655660424799,0.0192665648304144,57.52428019354029,5.884865242563684
41,41,5,0.007406008286925,558,922852.5740618904,0.5321908224445144,-0.2161830962811705,-0.1093299952277167,928.2128260314278,0.0141587951536726,51.32812129583482,4.744915842387571
