,AD,AL,AT,AZ,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IS,IT,KZ,LI,LT,LU,LV,MC,MD,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,TR,UA
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,123.0,314.0,346.0,214.0,345.0,123.0,332.0,168.0,488.0,351.0,281.0,361.0,574.0,490.0,117.0,477.0,114.0,137.0,376.0,327.0,358.0,337.0,123.0,94.0,135.0,223.0,83.0,375.0,101.0,505.0,76.0,328.0,297.0,274.0,500.0,345.0,299.0,349.0,337.0,438.0,190.0,494.0,277.0,153.0,100.0,348.0
4,299.0,489.0,491.0,353.0,497.0,314.0,498.0,484.0,594.0,469.0,346.0,492.0,822.0,653.0,287.0,737.0,288.0,282.0,478.0,483.0,491.0,500.0,281.0,367.0,348.0,370.0,278.0,494.0,330.0,657.0,284.0,474.0,477.0,353.0,594.0,503.0,444.0,498.0,492.0,680.0,347.0,664.0,499.0,333.0,340.0,505.0
6,371.0,596.0,667.0,483.0,598.0,486.0,661.0,681.0,725.0,584.0,488.0,672.0,917.0,836.0,382.0,846.0,488.0,435.0,578.0,581.0,664.0,672.0,479.0,574.0,491.0,475.0,361.0,663.0,479.0,826.0,459.0,669.0,602.0,481.0,917.0,678.0,593.0,664.0,662.0,853.0,500.0,737.0,679.0,484.0,493.0,678.0
8,480.0,660.0,825.0,587.0,662.0,669.0,833.0,829.0,821.0,732.0,676.0,825.0,,917.0,474.0,917.0,594.0,535.0,670.0,655.0,833.0,839.0,579.0,800.0,595.0,666.0,479.0,825.0,732.0,917.0,582.0,834.0,731.0,580.0,,836.0,778.0,836.0,830.0,917.0,592.0,830.0,830.0,589.0,659.0,853.0
10,560.0,812.0,917.0,678.0,833.0,735.0,917.0,917.0,917.0,824.0,829.0,917.0,,,596.0,,739.0,729.0,806.0,735.0,917.0,917.0,732.0,917.0,736.0,823.0,587.0,917.0,823.0,,732.0,917.0,819.0,670.0,,917.0,917.0,917.0,917.0,,826.0,917.0,917.0,736.0,830.0,917.0
12,776.0,917.0,,817.0,917.0,828.0,,,,917.0,917.0,,,,775.0,,825.0,822.0,917.0,824.0,,,828.0,,830.0,917.0,672.0,,917.0,,817.0,,917.0,819.0,,,,,,,917.0,,,827.0,917.0,
14,836.0,,,917.0,,917.0,,,,,,,,,837.0,,917.0,917.0,,917.0,,,917.0,,917.0,,817.0,,,,917.0,,,917.0,,,,,,,,,,917.0,,
16,917.0,,,,,,,,,,,,,,917.0,,,,,,,,,,,,917.0,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
