,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,1,0.0,72,18185.44022299765,0.0,0.0,0.0,0.0,0.0,59.42861111111113,60.70761227659924
1,1,1,0.0,130,5960.557775751004,0.0,0.0,0.0,0.0,0.0,71.03323076923073,7.90365422564788
2,2,1,0.0,91,5101.919455084462,0.0,0.0,0.0,0.0,0.0,65.50395604395601,14.349095583101306
3,3,1,0.0,265,367308.1548231684,0.0,0.0,0.0,0.0,0.0,53.699924528301885,22.863685583071717
4,4,1,0.0,115,186291.99796331383,0.0,0.0,0.0,0.0,0.0,64.6029565217391,45.81002707870721
5,5,1,0.0,92,3984032.540004959,0.0,0.0,0.0,0.0,0.0,56.07010869565221,220.74230615332505
6,6,1,0.0,207,277307.80845801806,0.0,0.0,0.0,0.0,0.0,74.38898550724645,52.36069392483176
7,7,1,0.0,81,92158.96813582434,0.0,0.0,0.0,0.0,0.0,26.103950617283918,15.783973537981032
8,8,1,0.0,170,51800.83805562425,0.0,0.0,0.0,0.0,0.0,56.84194117647065,18.41865402534274
9,9,1,0.0,122,42871.620372261365,0.0,0.0,0.0,0.0,0.0,53.097704918032825,21.70103300119048
10,10,1,0.0,179,1723860.4054523257,0.0,0.0,0.0,0.0,0.0,50.94966480446922,79.52653187084275
11,11,1,0.0,142,18593.586589797167,0.0,0.0,0.0,0.0,0.0,38.80654929577458,24.921574719152066
12,12,1,0.0,102,80824.94731290606,0.0,0.0,0.0,0.0,0.0,65.85872549019619,20.42748784395228
13,13,1,0.0,100,116294.94662137987,0.0,0.0,0.0,0.0,0.0,48.38049999999999,61.62351032853029
14,14,1,0.0,92,177648.8522737875,0.0,0.0,0.0,0.0,0.0,52.90489130434789,86.66312386640307
15,15,1,0.0,158,153976.5669100889,0.0,0.0,0.0,0.0,0.0,60.24721518987345,6.181495818511538
16,16,1,0.0,275,937587.5520092936,0.0,0.0,0.0,0.0,0.0,49.08374545454553,4.332126453838206
17,17,1,0.0,207,648231.8785862224,0.0,0.0,0.0,0.0,0.0,49.7170531400965,7.303019160368927
18,18,1,0.0,129,440925.3979873324,0.0,0.0,0.0,0.0,0.0,58.0401550387597,52.36950492715726
19,19,1,0.0,88,159525.42912394134,0.0,0.0,0.0,0.0,0.0,49.3425,53.29647904780768
20,20,1,0.0,80,26391.466024882408,0.0,0.0,0.0,0.0,0.0,65.69625,38.59715519448623
21,21,1,0.0,139,1116296.06061693,0.0,0.0,0.0,0.0,0.0,29.53165467625904,110.42511675074694
22,22,1,0.0,242,9228.182491206911,0.0,0.0,0.0,0.0,0.0,58.4673140495869,16.076666587558563
23,23,1,0.0,166,14218.353583334874,0.0,0.0,0.0,0.0,0.0,42.74759036144579,26.47764791665488
24,24,3,0.0013816416593045,477,16233701.479597108,0.9110940052534794,-0.4052816815882705,-0.4430622967784312,843.302862814834,0.0134421927788235,51.32317701656624,161.99649988242075
25,25,2,0.0032022557683414,740,6207634.396955581,0.731440614850672,0.7004641086655359,0.3209683814355799,303.3839441037968,0.0172725706390337,30.66200870882217,54.08110613447262
26,26,2,0.0038203274996981,769,176296.89351090416,0.7333935707765886,0.1920099049459186,-0.6084093128615334,800.0749189328262,0.0368155050721187,37.08844643544486,14.975116758885576
27,27,2,0.0040359941783119,297,521879.0379289511,0.7147146318027889,-0.4959354952550213,-0.4519475089734472,1176.2419882123345,0.0185588690119655,66.14500317604359,38.46237937091854
28,28,4,0.0048596127322495,1585,2419496.183817446,0.6074108227962691,-0.3589504576560413,-0.4029779711683239,1163.2791748660982,0.0170794354271148,51.85034558478844,18.38519950742389
29,29,2,0.0051216714724344,177,293738.3488036887,0.7242693839228962,0.2426639026266045,-0.2460729678873032,699.3323649635462,0.023642832217918,56.5500077319588,19.33299023014324
30,30,3,0.0056592133164273,268,545629.1827404511,0.7918543379030513,0.608070793311744,-0.4222974992374469,206.95094331426785,0.0287401487425382,43.18434479498995,84.51859605161455
31,31,3,0.0061189743402655,751,5334721.880509428,0.7242101304798255,0.7591358504168272,-0.0561050117634443,780.5324003705501,0.0147169993486449,66.45698027591978,66.91424340044908
32,32,2,0.0065624836317367,977,607727.8290249999,0.5537495568397727,0.6320963625786071,0.2041725604100236,465.9591477665151,0.0115405164788358,48.0343622641509,4.286242894394305
33,33,2,0.0065812651845905,765,676082.4265908295,0.5223109391941703,-0.5793880698010963,-0.3115561484996097,3305.655660424799,0.0192665648304144,57.52428019354029,5.884865242563684
34,34,4,0.0072703070168744,1447,8595254.386815734,0.7305087970690487,0.2411784644396708,0.5347751073256486,860.5115436044453,0.0110249413919171,48.34082574166857,70.38525153548608
35,35,3,0.0081415289773254,266,2039505.505934378,0.6775600662758805,-0.3944987819729001,-0.1298899442537956,872.809566265943,0.016734858860164,46.07381181139211,119.2243171939568
36,36,4,0.0085833566394922,1200,1846092.118120476,0.4183272165976175,-0.0104731047536809,0.1878691874092367,1077.5825703134208,0.010402429747588,53.27719869344026,13.723588040604962
