,US_AK,US_AL,US_AR,US_AZ,US_CA,US_CO,US_CT,US_DC,US_DE,US_FL,US_GA,US_HI,US_IA,US_ID,US_IL,US_IN,US_KS,US_KY,US_LA,US_MA,US_MD,US_ME,US_MI,US_MN,US_MO,US_MS,US_MT,US_NC,US_ND,US_NE,US_NH,US_NJ,US_NM,US_NV,US_NY,US_OH,US_OK,US_OR,US_PA,US_PR,US_RI,US_SC,US_SD,US_TN,US_TX,US_UT,US_VA,US_VT,US_WA,US_WI,US_WV,US_WY
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,328.0,199.0,294.0,134.0,206.0,332.0,74.0,201.0,207.0,114.0,186.0,452.0,498.0,150.0,179.0,457.0,482.0,455.0,227.0,501.0,226.0,294.0,247.0,188.0,414.0,209.0,454.0,498.0,236.0,506.0,496.0,137.0,494.0,123.0,94.0,365.0,208.0,396.0,169.0,577.0,499.0,223.0,512.0,202.0,149.0,126.0,202.0,498.0,225.0,492.0,466.0,460.0
2,413.0,446.0,384.0,485.0,385.0,433.0,513.0,261.0,359.0,174.0,393.0,519.0,654.0,475.0,239.0,522.0,570.0,572.0,442.0,594.0,315.0,354.0,327.0,327.0,582.0,406.0,618.0,623.0,506.0,621.0,656.0,330.0,568.0,183.0,488.0,670.0,432.0,457.0,344.0,658.0,570.0,450.0,610.0,414.0,489.0,411.0,440.0,634.0,377.0,608.0,532.0,618.0
3,633.0,610.0,614.0,627.0,626.0,614.0,601.0,471.0,498.0,448.0,570.0,607.0,768.0,618.0,498.0,582.0,630.0,635.0,504.0,659.0,496.0,712.0,387.0,390.0,667.0,609.0,793.0,718.0,631.0,756.0,727.0,390.0,630.0,384.0,617.0,730.0,612.0,517.0,422.0,729.0,630.0,609.0,703.0,617.0,611.0,623.0,527.0,760.0,453.0,668.0,631.0,724.0
4,709.0,748.0,783.0,795.0,729.0,710.0,720.0,610.0,599.0,606.0,734.0,722.0,887.0,790.0,592.0,670.0,702.0,744.0,594.0,719.0,596.0,887.0,479.0,483.0,764.0,782.0,887.0,887.0,711.0,887.0,787.0,478.0,700.0,609.0,702.0,887.0,782.0,612.0,603.0,798.0,691.0,733.0,887.0,745.0,748.0,766.0,606.0,827.0,514.0,729.0,765.0,887.0
5,887.0,887.0,887.0,887.0,887.0,887.0,795.0,703.0,659.0,739.0,887.0,796.0,,887.0,663.0,757.0,887.0,887.0,755.0,787.0,656.0,,676.0,637.0,887.0,887.0,,,887.0,,887.0,610.0,760.0,738.0,887.0,,887.0,759.0,663.0,887.0,887.0,887.0,,887.0,887.0,887.0,724.0,887.0,619.0,887.0,887.0,
6,,,,,,,887.0,887.0,759.0,887.0,,887.0,,,723.0,887.0,,,887.0,887.0,725.0,,748.0,700.0,,,,,,,,703.0,887.0,887.0,,,,887.0,723.0,,,,,,,,887.0,,715.0,,,
7,,,,,,,,,887.0,,,,,,887.0,,,,,,785.0,,887.0,887.0,,,,,,,,887.0,,,,,,,887.0,,,,,,,,,,887.0,,,
8,,,,,,,,,,,,,,,,,,,,,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
