,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,1,0.0,125,41000.42098796548,0.0,0.0,0.0,0.0,0.0,72.16303999999987,7.509965431664408
1,1,1,0.0,120,49953.559220059804,0.0,0.0,0.0,0.0,0.0,71.96616666666661,5.152392854138212
2,2,1,0.0,60,30894.675600082308,0.0,0.0,0.0,0.0,0.0,53.820166666666665,12.070346359183956
3,3,1,0.0,127,36363.91661395742,0.0,0.0,0.0,0.0,0.0,55.21944881889756,21.7434915874347
4,4,1,0.0,92,14086.65280760371,0.0,0.0,0.0,0.0,0.0,56.11956521739139,9.953117828539456
5,5,1,0.0,80,45222.988467388685,0.0,0.0,0.0,0.0,0.0,64.02587499999998,7.042510929104509
6,6,1,0.0,66,16884.506623304907,0.0,0.0,0.0,0.0,0.0,52.88318181818185,20.055546975456323
7,7,1,0.0,108,63382.934463677404,0.0,0.0,0.0,0.0,0.0,61.60879629629634,3.9024473755013696
8,8,1,0.0,89,36156.5449743848,0.0,0.0,0.0,0.0,0.0,38.0901123595505,48.65609301772754
9,9,1,0.0,86,455240.94006168144,0.0,0.0,0.0,0.0,0.0,33.95999999999998,78.30380504812668
10,10,1,0.0,60,14523.051076075526,0.0,0.0,0.0,0.0,0.0,31.54999999999997,22.129040482613583
11,11,1,0.0,184,23167.1079241685,0.0,0.0,0.0,0.0,0.0,53.39788043478266,16.708301106737878
12,12,1,0.0,125,60372.40021811167,0.0,0.0,0.0,0.0,0.0,44.68903999999999,10.814755427041353
13,13,1,0.0,169,633166.5450620032,0.0,0.0,0.0,0.0,0.0,36.343727810650904,78.69285451787444
14,14,1,0.0,60,29885.519647212957,0.0,0.0,0.0,0.0,0.0,62.14250000000001,2.192791574197948
15,15,1,0.0,98,17680.090016102185,0.0,0.0,0.0,0.0,0.0,54.030510204081615,17.973164272547397
16,16,1,0.0,83,7506.6839446658,0.0,0.0,0.0,0.0,0.0,61.202048192771045,20.397230669625245
17,17,2,0.0019935827958964714,176,91463.55698397654,0.8529047113300905,-0.5560483280643088,-0.049521766199256745,959.0506236687025,0.00621463466847811,55.14995465733902,6.77174369203207
18,18,3,0.005698376896028377,371,90154.13015423564,0.6127499787253612,-0.27313852819326306,-0.03210193887146485,1365.0271016865324,0.009092021562290492,33.21131586818525,18.490243269728268
19,19,4,0.00612273112426518,963,548391.4472740022,0.5973201374011075,0.11861733891880519,-0.05865720906871594,208.18813723597756,0.010350036414559454,62.107706804254576,29.29925334572367
20,20,2,0.006284725079823538,497,326992.8764519844,0.3526024808587378,-0.3171945006478222,-0.10737890372036926,607.4339851142119,0.00854328340359883,58.33857429029298,23.773690269320973
21,21,4,0.007359694476149629,623,599794.4687881075,0.6065901656089694,-0.34662679125203205,-0.2441902187472686,1048.4259744825965,0.016089756906040878,35.07899696545286,47.480813664565574
22,22,6,0.008108682106164486,1517,4843177.5641526105,0.6501643870006224,-0.16298927432331753,0.20663336038849664,1451.2430313264313,0.015494351099063556,37.391792481255436,52.267366718006905
23,23,2,0.00859705528721809,616,208852.2774504496,0.4686793806961348,0.4686385815622338,-0.3562976900486628,152.0181883905563,0.015020251102991869,60.99833500063862,8.537616403239745
