,US_AK,US_AL,US_AR,US_AZ,US_CA,US_CO,US_CT,US_DC,US_DE,US_FL,US_GA,US_HI,US_IA,US_ID,US_IL,US_IN,US_KS,US_KY,US_LA,US_MA,US_MD,US_ME,US_MI,US_MN,US_MO,US_MS,US_MT,US_NC,US_ND,US_NE,US_NH,US_NJ,US_NM,US_NV,US_NY,US_OH,US_OK,US_OR,US_PA,US_PR,US_RI,US_SC,US_SD,US_TN,US_TX,US_UT,US_VA,US_VT,US_WA,US_WI,US_WV,US_WY
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,251.0,121.0,124.0,105.0,119.0,245.0,30.0,42.0,39.0,117.0,124.0,155.0,236.0,121.0,46.0,40.0,43.0,243.0,30.0,33.0,52.0,294.0,30.0,53.0,240.0,125.0,240.0,293.0,234.0,46.0,45.0,30.0,121.0,123.0,30.0,261.0,125.0,124.0,30.0,269.0,31.0,115.0,235.0,124.0,116.0,113.0,63.0,30.0,119.0,236.0,287.0,240.0
2,336.0,178.0,154.0,166.0,196.0,358.0,105.0,96.0,82.0,192.0,197.0,213.0,458.0,167.0,91.0,88.0,74.0,273.0,60.0,160.0,95.0,338.0,80.0,83.0,325.0,179.0,464.0,458.0,327.0,94.0,108.0,112.0,169.0,174.0,148.0,462.0,155.0,171.0,85.0,347.0,102.0,154.0,454.0,177.0,168.0,151.0,93.0,60.0,173.0,459.0,347.0,453.0
3,378.0,285.0,290.0,292.0,286.0,395.0,293.0,293.0,291.0,292.0,292.0,292.0,546.0,260.0,239.0,256.0,243.0,303.0,120.0,292.0,129.0,390.0,246.0,244.0,355.0,289.0,563.0,534.0,381.0,241.0,293.0,296.0,247.0,261.0,295.0,542.0,291.0,259.0,265.0,391.0,259.0,297.0,541.0,270.0,296.0,243.0,299.0,298.0,241.0,553.0,377.0,542.0
4,445.0,455.0,379.0,446.0,445.0,463.0,347.0,450.0,355.0,358.0,455.0,338.0,579.0,459.0,349.0,354.0,448.0,458.0,187.0,347.0,187.0,466.0,331.0,334.0,391.0,444.0,634.0,597.0,465.0,453.0,350.0,336.0,463.0,434.0,459.0,584.0,436.0,355.0,346.0,458.0,464.0,452.0,574.0,459.0,457.0,434.0,453.0,338.0,271.0,583.0,466.0,633.0
5,553.0,525.0,509.0,523.0,518.0,598.0,377.0,504.0,385.0,388.0,523.0,377.0,666.0,554.0,386.0,389.0,532.0,533.0,292.0,377.0,292.0,697.0,384.0,386.0,502.0,515.0,674.0,666.0,559.0,666.0,381.0,370.0,520.0,561.0,654.0,660.0,527.0,401.0,384.0,514.0,541.0,530.0,665.0,533.0,530.0,596.0,539.0,375.0,301.0,664.0,542.0,670.0
6,630.0,612.0,587.0,570.0,609.0,628.0,455.0,534.0,460.0,435.0,606.0,458.0,736.0,633.0,456.0,459.0,578.0,591.0,450.0,459.0,343.0,733.0,463.0,462.0,582.0,601.0,743.0,745.0,634.0,734.0,464.0,460.0,550.0,611.0,715.0,731.0,593.0,465.0,465.0,583.0,582.0,604.0,744.0,591.0,607.0,631.0,594.0,461.0,354.0,728.0,606.0,750.0
7,670.0,666.0,665.0,667.0,665.0,662.0,538.0,564.0,549.0,513.0,660.0,524.0,857.0,674.0,531.0,531.0,666.0,670.0,507.0,541.0,382.0,778.0,607.0,610.0,664.0,665.0,845.0,857.0,669.0,844.0,664.0,540.0,609.0,666.0,782.0,857.0,669.0,523.0,554.0,655.0,659.0,666.0,857.0,669.0,664.0,666.0,660.0,662.0,400.0,786.0,668.0,815.0
8,746.0,754.0,750.0,762.0,739.0,719.0,586.0,594.0,589.0,607.0,757.0,613.0,887.0,753.0,579.0,581.0,734.0,758.0,608.0,581.0,460.0,887.0,637.0,640.0,752.0,756.0,887.0,887.0,736.0,887.0,729.0,583.0,639.0,697.0,819.0,887.0,752.0,611.0,584.0,718.0,721.0,734.0,887.0,740.0,756.0,742.0,735.0,724.0,464.0,827.0,745.0,887.0
9,829.0,847.0,845.0,836.0,845.0,810.0,657.0,650.0,659.0,657.0,857.0,663.0,,843.0,659.0,664.0,853.0,857.0,666.0,658.0,550.0,,667.0,670.0,848.0,845.0,,,857.0,,784.0,654.0,669.0,727.0,849.0,,855.0,667.0,659.0,784.0,783.0,857.0,,851.0,846.0,837.0,792.0,771.0,530.0,857.0,857.0,
10,887.0,887.0,887.0,887.0,887.0,887.0,729.0,714.0,744.0,727.0,887.0,724.0,,887.0,727.0,737.0,887.0,887.0,737.0,721.0,589.0,,736.0,732.0,887.0,887.0,,,887.0,,887.0,724.0,741.0,757.0,887.0,,887.0,732.0,733.0,887.0,887.0,887.0,,887.0,887.0,887.0,822.0,887.0,616.0,887.0,887.0,
11,,,,,,,784.0,788.0,789.0,845.0,,800.0,,,785.0,857.0,,,844.0,783.0,654.0,,787.0,783.0,,,,,,,,788.0,848.0,855.0,,,,828.0,792.0,,,,,,,,852.0,,669.0,,,
12,,,,,,,887.0,887.0,827.0,887.0,,887.0,,,823.0,887.0,,,887.0,887.0,727.0,,827.0,827.0,,,,,,,,820.0,887.0,887.0,,,,887.0,825.0,,,,,,,,887.0,,732.0,,,
