,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,1,0.0,141,12196.528690386953,0.0,0.0,0.0,0.0,0.0,29.826453900709204,36.70024261724927
1,1,1,0.0,458,189550.69632516056,0.0,0.0,0.0,0.0,0.0,69.1547379912662,5.534036892701678
2,2,1,0.0,155,44766.27676515108,0.0,0.0,0.0,0.0,0.0,61.03890322580644,21.316430073134537
3,3,1,0.0,44,19933.04233397642,0.0,0.0,0.0,0.0,0.0,53.275909090909074,13.498404535807305
4,4,1,0.0,143,47325.54988006333,0.0,0.0,0.0,0.0,0.0,55.23034965034958,20.22177911594212
5,5,1,0.0,124,47381.62604880654,0.0,0.0,0.0,0.0,0.0,53.18733870967738,22.40871990606063
6,6,1,0.0,110,19445.42122828376,0.0,0.0,0.0,0.0,0.0,61.17045454545457,10.674003439453532
7,7,1,0.0,125,60372.40021811167,0.0,0.0,0.0,0.0,0.0,44.68903999999999,10.814755427041353
8,8,1,0.0,169,633166.5450620032,0.0,0.0,0.0,0.0,0.0,36.343727810650904,78.69285451787444
9,9,2,0.003264117233928462,173,82098.42378936568,0.0,0.0,0.0,688.6164313017413,0.01019083463529267,62.27808295363175,12.087335823862704
10,10,3,0.008067523060777295,338,99473.16685684446,0.548557160438817,-0.4184376998185995,-0.029957177487545218,261.8926341239576,0.011434667826577044,48.756704604648895,16.74719159558407
11,11,13,0.0092603799978026,1844,7040539.307706678,0.4346928032883511,0.04915207906864823,0.40871054938055335,1028.0565702517956,0.01092876773633339,33.529290594076066,59.674995128394535
12,12,3,0.009391940426218335,442,387683.19829695206,0.600737324657097,-0.2235950773523171,-0.5200634185755247,780.4845315710054,0.02193309532311069,38.12192082276699,46.63708462334451
13,13,5,0.0095564391748114,766,862216.1562346136,0.5937846760131625,0.3771395443387534,-0.3237157193170172,465.38821011080535,0.02803660888755711,36.88296325290496,40.51104249287302
14,14,3,0.009940508061727877,413,77040.80809938209,0.3751920810397462,0.4094385366896727,-0.4203045399881302,279.7283063536359,0.013856346890093059,32.634530516431965,32.37750658250505
15,15,4,0.00996151109015099,581,152331.83468932487,0.5840492913195685,0.24718914922039903,0.0014341785833387327,606.0756599658107,0.005617183580080576,31.17125279145782,16.220824290761335
16,16,18,0.010008900525996083,2605,19215626.451217737,0.5486515725130133,-0.09175912585871908,-0.15027446583260018,1423.7778707058442,0.021694986402910878,38.32988915850886,73.29490869065557
17,17,4,0.01138153115920875,620,64477.10685292189,0.5034120967252764,-0.26671574499199857,-0.29821935030151714,551.381217257078,0.009642198625434792,34.03186424803433,21.757884646423992
18,18,4,0.01138465691506771,658,127228.78906193194,0.5128763380507706,-0.7369221334696385,-0.11174217044541188,904.8672949357579,0.008319108191509769,34.70703219977561,28.742974531006713
19,19,10,0.011669624567917567,2733,1458721.134693352,0.611484134377676,0.33977600420355414,0.6263649857670518,901.4446203134731,0.011815212399169361,44.856659411655045,29.87394294997818
20,20,6,0.012430112676814504,707,6383194.987908088,0.2734776210981329,-0.17493217142658346,-0.26686578907262976,1437.2503210358557,0.024460982218031006,36.000989834124304,90.54341244787285
21,21,3,0.012663804982392186,475,67042.0148638134,0.38024874077879617,0.7836540745960793,-0.3035897148190538,120.48394604811521,0.008670862130461017,28.86749978064179,21.946170257399398
22,22,3,0.012844798825908731,346,113343.43180194848,0.3832331157094873,-0.5735497185930107,-0.5419908773994533,1608.1484564942168,0.017397114705628148,55.73186679304896,13.14497472371715
23,23,5,0.013333212771147742,759,254741.70033049624,0.34965319522422605,-0.375350140361128,-0.39520489904099404,2055.8312379349272,0.012607417864386471,33.31422976737851,32.88638542098604
24,24,17,0.01355617518596764,4349,14790778.978201978,0.2499672902391192,0.25169867830244075,0.2701336270690127,1115.459109002875,0.012448272935895678,37.718061203981215,49.57983869769071
25,25,6,0.014230637323958456,1847,1421984.3940235425,0.15969264793593804,-0.2394372604211413,-0.14288105352496575,1336.107895110908,0.016114269694112053,61.10303893078673,29.38997950652522
26,26,3,0.014678632564502275,428,98876.73392603837,0.29877792080431664,-0.5105862663454787,-0.49730509304572673,1539.6704501261465,0.016164325741263474,39.72142463818257,19.456858249255948
27,27,2,0.015525671010312206,260,105807.56816534924,0.05277323729843357,0.28481020516676686,-0.30555537269611033,490.94484545978054,0.00981698848958433,54.869565577651485,22.650496079601403
28,28,10,0.015896039958881104,1351,386047.92196872114,0.624302999023386,-0.1573575496167154,-0.04450082376523177,841.208859695358,0.012043233177350666,37.893334748555844,28.277555983030634
29,29,5,0.01613823928045184,630,330009.4060725452,0.5994090993421018,0.8160134001213113,0.15632037362137757,119.90979826532714,0.009861422302044436,65.10681476155388,13.525390772893564
30,30,4,0.01630972312173852,1501,548263.6910244523,0.30337157278219945,-0.3896486952012278,-0.2714193994646003,2074.4535688139968,0.015459195465095686,60.535708786265346,9.250800664770857
31,31,17,0.016773083691014132,2416,653207.5926318066,0.180792431548378,-0.2915689555735893,-0.5150079603512865,765.9325204021011,0.013046737580398529,32.06642329374758,22.883058214505915
32,32,24,0.016786941425318152,10610,7426584.813783067,0.6170899841297125,0.33922647775414916,0.14361551193667185,981.62644670302,0.01624585134268101,49.566813271152746,23.043848855271573
33,33,9,0.016965415085894494,1384,156396.0384439719,0.20089305897118734,-0.5742779328861689,-0.36638887571383383,1271.2344661389482,0.012291115029236728,35.242240780882184,28.051276784533016
34,34,6,0.017710369563930895,1783,936734.9001236716,0.34034062814123084,0.42675152586242154,0.03671754091795415,432.3985484778732,0.012649880731587064,55.77611923665765,24.210014454135273
35,35,11,0.0180714416299629,1802,704900.0068832936,0.14430987871217082,-0.30374012250209825,-0.25769442445587853,1111.5573226993204,0.014653550450799503,38.32678778181216,30.3671333702716
36,36,11,0.018680814053088572,1947,922074.0148031525,0.5070969533181585,-0.3188374595837784,-0.14563957385073265,1096.3579903316113,0.01205305493202809,52.439200951244786,14.339361040759242
