,US_AK,US_AL,US_AR,US_AZ,US_CA,US_CO,US_CT,US_DC,US_DE,US_FL,US_GA,US_HI,US_IA,US_ID,US_IL,US_IN,US_KS,US_KY,US_LA,US_MA,US_MD,US_ME,US_MI,US_MN,US_MO,US_MS,US_MT,US_NC,US_ND,US_NE,US_NH,US_NJ,US_NM,US_NV,US_NY,US_OH,US_OK,US_OR,US_PA,US_PR,US_RI,US_SC,US_SD,US_TN,US_TX,US_UT,US_VA,US_VT,US_WA,US_WI,US_WV,US_WY
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,445.0,178.0,379.0,166.0,196.0,463.0,105.0,96.0,82.0,192.0,197.0,458.0,458.0,167.0,91.0,459.0,448.0,458.0,44.0,164.0,460.0,338.0,331.0,334.0,391.0,178.0,464.0,458.0,465.0,453.0,350.0,111.0,463.0,174.0,148.0,462.0,436.0,355.0,346.0,347.0,102.0,154.0,454.0,177.0,168.0,434.0,453.0,461.0,464.0,459.0,466.0,384.0
2,630.0,455.0,587.0,446.0,445.0,627.0,455.0,458.0,355.0,440.0,455.0,613.0,579.0,459.0,349.0,581.0,578.0,591.0,187.0,459.0,727.0,466.0,463.0,462.0,582.0,444.0,634.0,597.0,634.0,734.0,464.0,336.0,741.0,434.0,459.0,584.0,593.0,465.0,465.0,458.0,464.0,452.0,574.0,459.0,457.0,631.0,594.0,724.0,616.0,581.0,606.0,633.0
3,746.0,612.0,750.0,570.0,609.0,719.0,729.0,585.0,460.0,607.0,606.0,724.0,736.0,633.0,456.0,739.0,734.0,758.0,450.0,721.0,887.0,733.0,736.0,732.0,752.0,601.0,743.0,745.0,736.0,887.0,729.0,460.0,887.0,611.0,715.0,731.0,752.0,611.0,733.0,583.0,721.0,604.0,744.0,591.0,607.0,742.0,735.0,887.0,732.0,728.0,745.0,750.0
4,887.0,754.0,887.0,762.0,739.0,887.0,887.0,714.0,589.0,727.0,757.0,887.0,887.0,753.0,579.0,887.0,887.0,887.0,608.0,887.0,,887.0,887.0,887.0,887.0,756.0,887.0,887.0,887.0,,887.0,724.0,,745.0,887.0,887.0,887.0,732.0,887.0,718.0,887.0,734.0,887.0,740.0,756.0,887.0,887.0,,887.0,887.0,887.0,887.0
5,,887.0,,887.0,887.0,,,887.0,744.0,887.0,887.0,,,887.0,727.0,,,,737.0,,,,,,,887.0,,,,,,887.0,,887.0,,,,887.0,,887.0,,887.0,,887.0,887.0,,,,,,,
6,,,,,,,,,887.0,,,,,,887.0,,,,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
